service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
63,1,1,1,1,1,1,1,20220418,20220530
73,1,1,1,1,1,1,1,20220418,20220530
87,1,1,1,1,1,1,1,20220418,20220530
71,1,0,0,0,0,0,1,20220418,20220529
83,1,0,0,0,0,0,1,20220418,20220529
78,0,0,0,0,1,0,0,20220422,20220527
68,0,0,0,0,1,0,0,20220422,20220527
67,1,1,1,1,1,0,1,20220418,20220530
85,1,1,1,1,1,0,1,20220418,20220530
81,1,1,1,1,1,1,0,20220420,20220530
62,1,1,1,1,1,1,0,20220419,20220530
84,0,1,0,0,0,0,0,20220419,20220419
86,1,0,0,0,0,1,1,20220418,20220529
75,1,1,1,1,0,0,0,20220502,20220530
69,1,1,1,1,0,0,0,20220419,20220530
64,1,1,1,1,0,1,0,20220419,20220530
65,0,0,0,0,1,1,0,20220422,20220528
38,0,0,0,0,1,1,0,20220430,20220528
80,1,1,1,1,1,0,0,20220420,20220530
66,1,1,1,1,1,0,0,20220419,20220530
77,1,1,1,1,1,0,0,20220419,20220530
74,1,1,1,1,1,0,0,20220502,20220530
76,1,1,1,1,0,0,1,20220418,20220530
70,1,1,1,1,0,0,1,20220418,20220530
60,0,0,0,0,0,1,1,20220418,20220529
72,0,0,0,0,1,0,1,20220418,20220529
79,0,0,0,0,0,1,0,20220423,20220423
82,0,0,0,0,0,1,0,20220419,20220528
61,0,0,0,0,0,1,0,20220423,20220528
astralFeriale,1,1,1,1,1,0,0,20210913,20211231
astralSabato,0,0,0,0,0,1,0,20210913,20211231
