service_id,date,exception_type
1#6,20220502,1
1#8,20220502,1
1#11,20220502,1
1#18,20220502,1
1#21,20220502,1
1#23,20220502,1
1#24,20220502,1
1#25,20220502,1
1#26,20220502,1
1#28,20220502,1
1#29,20220502,1
1#32,20220502,1
1#38,20220502,1
1#42,20220502,1
1#45,20220502,1
1#47,20220502,1
1#48,20220502,1
1#49,20220502,1
1#50,20220502,1
1#55,20220502,1
1#56,20220502,1
1#58,20220502,1
1#62,20220502,1
1#65,20220502,1
1#69,20220502,1
1#73,20220502,1
1#76,20220502,1
1#77,20220502,1
1#86,20220502,1
1#6,20220503,1
1#8,20220503,1
1#11,20220503,1
1#18,20220503,1
1#21,20220503,1
1#23,20220503,1
1#24,20220503,1
1#25,20220503,1
1#26,20220503,1
1#28,20220503,1
1#29,20220503,1
1#32,20220503,1
1#38,20220503,1
1#42,20220503,1
1#47,20220503,1
1#48,20220503,1
1#49,20220503,1
1#50,20220503,1
1#55,20220503,1
1#56,20220503,1
1#58,20220503,1
1#62,20220503,1
1#65,20220503,1
1#67,20220503,1
1#74,20220503,1
1#79,20220503,1
1#85,20220503,1
1#6,20220504,1
1#8,20220504,1
1#11,20220504,1
1#18,20220504,1
1#21,20220504,1
1#23,20220504,1
1#24,20220504,1
1#25,20220504,1
1#26,20220504,1
1#28,20220504,1
1#29,20220504,1
1#32,20220504,1
1#38,20220504,1
1#42,20220504,1
1#47,20220504,1
1#48,20220504,1
1#49,20220504,1
1#50,20220504,1
1#55,20220504,1
1#56,20220504,1
1#58,20220504,1
1#62,20220504,1
1#65,20220504,1
1#67,20220504,1
1#74,20220504,1
1#79,20220504,1
1#85,20220504,1
1#6,20220505,1
1#8,20220505,1
1#11,20220505,1
1#18,20220505,1
1#21,20220505,1
1#23,20220505,1
1#24,20220505,1
1#25,20220505,1
1#26,20220505,1
1#28,20220505,1
1#29,20220505,1
1#32,20220505,1
1#38,20220505,1
1#42,20220505,1
1#47,20220505,1
1#48,20220505,1
1#49,20220505,1
1#50,20220505,1
1#55,20220505,1
1#56,20220505,1
1#58,20220505,1
1#62,20220505,1
1#65,20220505,1
1#67,20220505,1
1#74,20220505,1
1#79,20220505,1
1#85,20220505,1
1#3,20220506,1
1#6,20220506,1
1#8,20220506,1
1#11,20220506,1
1#18,20220506,1
1#21,20220506,1
1#23,20220506,1
1#24,20220506,1
1#25,20220506,1
1#26,20220506,1
1#28,20220506,1
1#29,20220506,1
1#36,20220506,1
1#38,20220506,1
1#42,20220506,1
1#47,20220506,1
1#48,20220506,1
1#49,20220506,1
1#56,20220506,1
1#58,20220506,1
1#61,20220506,1
1#62,20220506,1
1#65,20220506,1
1#74,20220506,1
1#81,20220506,1
1#82,20220506,1
1#84,20220506,1
1#85,20220506,1
1#87,20220506,1
1#88,20220506,1
1#90,20220506,1
1#92,20220506,1
1#4,20220507,1
1#5,20220507,1
1#7,20220507,1
1#8,20220507,1
1#9,20220507,1
1#10,20220507,1
1#13,20220507,1
1#19,20220507,1
1#20,20220507,1
1#24,20220507,1
1#25,20220507,1
1#27,20220507,1
1#30,20220507,1
1#34,20220507,1
1#37,20220507,1
1#41,20220507,1
1#42,20220507,1
1#48,20220507,1
1#49,20220507,1
1#54,20220507,1
1#57,20220507,1
1#59,20220507,1
1#60,20220507,1
1#64,20220507,1
1#66,20220507,1
