route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
211,OP1,211,,3,,,
C2,OP1,C2,,3,,,
62,OP1,62,,3,,,
105,OP1,105,,3,,,
766,OP1,766,,3,,,
773,OP1,773,,3,,,
81,OP1,81,,3,,,
31,OP1,31,,3,,,
38,OP1,38,,3,,,
05,OP1,05,,3,,,
542,OP1,542,,3,,,
551,OP1,551,,3,,,
590,OP1,590,,3,,,
69,OP1,69,,3,,,
700,OP1,700,,3,,,
014,OP1,014,,3,,,
058F,OP1,058F,,3,,,
310,OP1,310,,3,,,
791,OP1,791,,3,,,
303,OP1,303,,3,,,
490,OP1,490,,3,,,
19,OP1,19,,0,,,
90,OP1,90,,3,,,
905,OP1,905,,3,,,
115,OP1,115,,3,,,
765,OP1,765,,3,,,
559,OP1,559,,3,,,
20,OP1,20,,3,,,
046,OP1,046,,3,,,
500,OP1,500,,3,,,
117,OP1,117,,3,,,
360,OP1,360,,3,,,
772,OP1,772,,3,,,
071,OP1,071,,3,,,
04B,OP1,04B,,3,,,
507,OP1,507,,3,,,
201,OP1,201,,3,,,
338,OP1,338,,3,,,
705,OP1,705,,3,,,
556,OP1,556,,3,,,
64,OP1,64,,3,,,
52,OP1,52,,3,,,
247,OP1,247,,3,,,
14,OP1,14,,0,,,
93,OP1,93,,3,,,
448,OP1,448,,3,,,
05B,OP1,05B,,3,,,
309,OP1,309,,3,,,
211F,OP1,211F,,3,,,
990,OP1,990,,3,,,
062,OP1,062,,3,,,
063,OP1,063,,3,,,
C9,OP1,C9,,3,,,
762,OP1,762,,3,,,
C3,OP1,C3,,3,,,
670,OP1,670,,3,,,
504,OP1,504,,3,,,
246,OP1,246,,3,,,
870,OP1,870,,3,,,
311,OP1,311,,3,,,
021,OP1,021,,3,,,
75,OP1,75,,3,,,
88,OP1,88,,3,,,
446,OP1,446,,3,,,
916,OP1,916,,3,,,
087,OP1,087,,3,,,
C7,OP1,C7,,3,,,
3NAV,OP1,3NAV,,3,,,
509,OP1,509,,3,,,
781,OP1,781,,3,,,
451,OP1,451,,3,,,
60,OP1,60,,3,,,
160,OP1,160,,3,,,
911,OP1,911,,3,,,
774,OP1,774,,3,,,
709,OP1,709,,3,,,
118,OP1,118,,3,,,
065,OP1,065,,3,,,
508,OP1,508,,3,,,
628,OP1,628,,3,,,
786,OP1,786,,3,,,
012,OP1,012,,3,,,
228,OP1,228,,3,,,
111,OP1,111,,3,,,
786F,OP1,786F,,3,,,
545,OP1,545,,3,,,
168,OP1,168,,3,,,
86,OP1,86,,3,,,
906,OP1,906,,3,,,
412,OP1,412,,3,,,
223,OP1,223,,3,,,
910,OP1,910,,3,,,
716,OP1,716,,3,,,
32,OP1,32,,3,,,
558,OP1,558,,3,,,
089,OP1,089,,3,,,
654,OP1,654,,3,,,
280,OP1,280,,3,,,
61,OP1,61,,3,,,
708,OP1,708,,3,,,
40,OP1,40,,3,,,
719,OP1,719,,3,,,
715,OP1,715,,3,,,
779,OP1,779,,3,,,
070,OP1,070,,3,,,
714,OP1,714,,3,,,
871,OP1,871,,3,,,
443,OP1,443,,3,,,
C11,OP1,C11,,3,,,
128,OP1,128,,3,,,
H,OP1,H,,3,,,
3L,OP1,3L,,3,,,
916F,OP1,916F,,3,,,
649,OP1,649,,3,,,
671,OP1,671,,3,,,
119,OP1,119,,3,,,
775,OP1,775,,3,,,
C5,OP1,C5,,3,,,
904,OP1,904,,3,,,
337,OP1,337,,3,,,
111F,OP1,111F,,3,,,
664,OP1,664,,3,,,
53,OP1,53,,3,,,
230,OP1,230,,3,,,
980,OP1,980,,3,,,
052,OP1,052,,3,,,
706,OP1,706,,3,,,
769,OP1,769,,3,,,
780,OP1,780,,3,,,
301,OP1,301,,3,,,
170,OP1,170,,3,,,
106,OP1,106,,3,,,
04,OP1,04,,3,,,
058,OP1,058,,3,,,
06,OP1,06,,3,,,
07,OP1,07,,3,,,
16,OP1,16,,3,,,
163,OP1,163,,3,,,
2,OP1,2,,0,,,
200,OP1,200,,3,,,
23,OP1,23,,3,,,
30,OP1,30,,3,,,
34,OP1,34,,3,,,
44,OP1,44,,3,,,
450,OP1,450,,3,,,
46,OP1,46,,3,,,
46B,OP1,46B,,3,,,
49,OP1,49,,3,,,
492,OP1,492,,3,,,
495,OP1,495,,3,,,
5,OP1,5,,0,,,
506,OP1,506,,3,,,
63,OP1,63,,3,,,
70,OP1,70,,3,,,
71,OP1,71,,3,,,
80,OP1,80,,3,,,
85,OP1,85,,3,,,
87,OP1,87,,3,,,
913,OP1,913,,3,,,
92,OP1,92,,3,,,
98,OP1,98,,3,,,
981,OP1,981,,3,,,
C13,OP1,C13,,3,,,
C4,OP1,C4,,3,,,
01,OP1,01,,3,,,
016,OP1,016,,3,,,
016F,OP1,016F,,3,,,
029,OP1,029,,3,,,
03,OP1,03,,3,,,
09,OP1,09,,3,,,
33,OP1,33,,3,,,
334,OP1,334,,3,,,
341,OP1,341,,3,,,
409,OP1,409,,3,,,
A01,OP1,A01,,3,,,
A05,OP1,A05,,3,,,
A06,OP1,A06,,3,,,
A07,OP1,A07,,3,,,
A10,OP1,A10,,3,,,
A50,OP1,A50,,3,,,
A60,OP1,A60,,3,,,
A70,OP1,A70,,3,,,
C01,OP1,C01,,3,,,
C02,OP1,C02,,3,,,
C03,OP1,C03,,3,,,
C10,OP1,C10,,3,,,
C20,OP1,C20,,3,,,
C30,OP1,C30,,3,,,
G03,OP1,G03,,3,,,
G04,OP1,G04,,3,,,
G05,OP1,G05,,3,,,
G06,OP1,G06,,3,,,
G07,OP1,G07,,3,,,
G40,OP1,G40,,3,,,
G50,OP1,G50,,3,,,
G60,OP1,G60,,3,,,
G70,OP1,G70,,3,,,
L01,OP1,L01,,3,,,
L02,OP1,L02,,3,,,
L03,OP1,L03,,3,,,
L04,OP1,L04,,3,,,
L05,OP1,L05,,3,,,
L06,OP1,L06,,3,,,
L07,OP1,L07,,3,,,
L08,OP1,L08,,3,,,
L10,OP1,L10,,3,,,
L20,OP1,L20,,3,,,
L30,OP1,L30,,3,,,
L40,OP1,L40,,3,,,
L50,OP1,L50,,3,,,
L60,OP1,L60,,3,,,
L70,OP1,L70,,3,,,
L80,OP1,L80,,3,,,
M02,OP1,M02,,3,,,
M03,OP1,M03,,3,,,
M04,OP1,M04,,3,,,
M05,OP1,M05,,3,,,
M20,OP1,M20,,3,,,
M30,OP1,M30,,3,,,
M50,OP1,M50,,3,,,
n11,OP1,n11,,3,,,
n5,OP1,n5,,3,,,
n8,OP1,n8,,3,,,
P02,OP1,P02,,3,,,
P03,OP1,P03,,3,,,
P10,OP1,P10,,3,,,
P20,OP1,P20,,3,,,
P30,OP1,P30,,3,,,
T01,OP1,T01,,3,,,
T02,OP1,T02,,3,,,
T10,OP1,T10,,3,,,
T20,OP1,T20,,3,,,
020,OP1,020,,3,,,
100,OP1,100,,3,,,
188,OP1,188,,3,,,
8BUS,OP1,8BUS,,3,,,
544,OP1,544,,3,,,
350,OP1,350,,3,,,
043,OP1,043,,3,,,
313,OP1,313,,3,,,
120F,OP1,120F,,3,,,
150F,OP1,150F,,3,,,
180F,OP1,180F,,3,,,
190F,OP1,190F,,3,,,
113,OP1,113,,3,,,
075,OP1,075,,3,,,
246P,OP1,246P,,3,,,
336,OP1,336,,3,,,
351,OP1,351,,3,,,
435,OP1,435,,3,,,
82,OP1,82,,3,,,
83,OP1,83,,3,,,
89,OP1,89,,3,,,
515,OP1,515,,3,,,
731,OP1,731,,3,,,
RMG,OP1,RMG,,0,,,
319,OP1,319,,3,,,
51,OP1,51,,3,,,
669,OP1,669,,3,,,
723,OP1,723,,3,,,
788,OP1,788,,3,,,
RMVT,OP1,RMVT,,0,,,
50,OP1,50,,3,,,
792,OP1,792,,3,,,
881,OP1,881,,3,,,
983,OP1,983,,3,,,
107,OP1,107,,3,,,
047,OP1,047,,3,,,
66,OP1,66,,3,,,
RL,OP1,RL,,0,,,
068,OP1,068,,3,,,
720,OP1,720,,3,,,
795,OP1,795,,3,,,
520,OP1,520,,3,,,
718,OP1,718,,3,,,
77,OP1,77,,3,,,
F02,OP1,F02,,3,,,
F20,OP1,F20,,3,,,
72,OP1,72,,3,,,
73,OP1,73,,3,,,
073,OP1,073,,3,,,
74,OP1,74,,3,,,
nMA,OP1,nMA,,3,,,
nMB,OP1,nMB,,3,,,
nMB1,OP1,nMB1,,3,,,
nME,OP1,nME,,3,,,
n551,OP1,n551,,3,,,
nMC,OP1,nMC,,3,,,
n041,OP1,n041,,3,,,
n075,OP1,n075,,3,,,
n200,OP1,n200,,3,,,
n201,OP1,n201,,3,,,
n3d,OP1,n3d,,3,,,
n3s,OP1,n3s,,3,,,
n409,OP1,n409,,3,,,
n46,OP1,n46,,3,,,
n500,OP1,n500,,3,,,
n543,OP1,n543,,3,,,
n66,OP1,n66,,3,,,
n70,OP1,n70,,3,,,
n705,OP1,n705,,3,,,
n716,OP1,n716,,3,,,
n719,OP1,n719,,3,,,
n74,OP1,n74,,3,,,
n781,OP1,n781,,3,,,
n90,OP1,n90,,3,,,
n904,OP1,n904,,3,,,
n913,OP1,n913,,3,,,
n92,OP1,n92,,3,,,
n98,OP1,n98,,3,,,
990L,OP1,990L,,3,,,
344,OP1,344,,3,,,
424,OP1,424,,3,,,
045,OP1,045,,3,,,
