stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,wheelchair_boarding,stop_timezone,location_type,parent_station
73376,73376,BOLOGNA (MB),,41.913060,12.520938,,,,,
80479,80479,TOGLIATTI/MAZZOCCOLO,,41.861777,12.569547,,,,,
76912,76912,CASAL TIDEI,,41.942112,12.577188,,,,,
73154,73154,P.ZA IRNERIO (MA),,41.897955,12.430488,,,,,
71929,71929,OSTIENSE/LGT S. PAOLO,,41.862528,12.478645,,,,,
72227,72227,CASSIA/BARBANTINI,,41.992710,12.394573,,,,,
75689,75689,ACQUAFREDDA/GARESSIO 1,,41.897318,12.395520,,,,,
20142,20142,TIBURTINA/CASTEL MADAMA,,41.933758,12.603652,,,,,
77018,77018,BARTOLO LONGO/SALAZAR,,41.935150,12.569570,,,,,
99116,99116,MONTEBELLO,,42.011065,12.488978,,,,,
77738,77738,ORTONA DEI MARSI/MONTENERODOMO,,41.916142,12.693140,,,,,
82865,82865,MODUGNO/MASTROIANNI,,41.788413,12.393752,,,,,
77623,77623,COMPOSITORI/MOLININI,,41.765168,12.471797,,,,,
75514,75514,APPIA/ENEA,,41.873073,12.525365,,,,,
71363,71363,BUENOS AIRES,,41.917992,12.500400,,,,,
72457,72457,BONIFAZI/NORIS,,41.905960,12.415700,,,,,
76254,76254,DE CAROLIS/MACCAGNO,,41.917193,12.439285,,,,,
71335,71335,SCALO S. LORENZO/TALAMO,,41.893930,12.516922,,,,,
72775,72775,COMANO/MOLAZZANA,,41.955043,12.513778,,,,,
72521,72521,FRANTOIO/ERPICE,,41.913458,12.561332,,,,,
75094,75094,TINTORETTO/GOZZOLI,,41.833843,12.489167,,,,,
71090,71090,PRENESTINA/TOR DE' SCHIAVI,,41.894802,12.559790,,,,,
75172,75172,CAMPARI/LEPETIT,,41.889790,12.587153,,,,,
71250,71250,MOLFETTA,,41.890070,12.575727,,,,,
74573,74573,PORTUENSE/VIGNA PIA,,41.865077,12.458860,,,,,
74039,74039,MOSCHIANO/SOLOPACA,,41.722433,12.519553,,,,,
72586,72586,ROBINIE/AZALEE,,41.882582,12.568617,,,,,
70671,70671,TERME CARACALLA/PORTA ARDEATINA,,41.873763,12.496802,,,,,
70166,70166,CASSIA/S. GIOVANNA ELISABETTA,,41.957153,12.455952,,,,,
81355,81355,VARIOLA,,41.887047,12.611605,,,,,
77902,77902,FRA' DI GIOVANNI/PASCHINI,,41.783817,12.342723,,,,,
70507,70507,EMANUELE FILIBERTO/DANTE,,41.892773,12.505598,,,,,
78743,78743,BIANCHINI/MAESTRELLI,,41.833323,12.501235,,,,,
71005,71005,PRENESTINA/COCCONI,,41.895075,12.563583,,,,,
70074,70074,FLAMINIA/MONTEROSI,,41.950912,12.481103,,,,,
78025,78025,CASAL BERTONE/S. MARIA CONSOLATRICE,,41.897830,12.535048,,,,,
77096,77096,L.GO DIAZ,,41.936445,12.464842,,,,,
76926,76926,MARE DEI CORALLI/MARE DEI CARAIBI,,41.730008,12.300943,,,,,
74705,74705,ANAGNINA/CASAL MORENA,,41.816108,12.617078,,,,,
70559,70559,DE MATTIAS/PANNONIA,,41.879447,12.501943,,,,,
78798,78798,MARCONI (MB),,41.848487,12.474838,,,,,
76475,76475,MONFORTANI,,41.937117,12.424503,,,,,
72656,72656,MELI,,41.880880,12.575543,,,,,
73094,73094,AURELIA/BRAVA,,41.886080,12.384727,,,,,
76802,76802,ROMAGNOLI/CALZA,,41.756313,12.298825,,,,,
74250,74250,LAURENTINA/BOSCOTRECASE,,41.748542,12.501517,,,,,
80619,80619,FLAMINIA/BELLE ARTI,,41.920813,12.472252,,,,,
