#
#   Regole per verificare le linee garantite ai disabili
#
Linea,	Giorno,			Da,		A,      VetturaDa,  VetturaA
81,		0-1-2-3-4-5-6,  00:00,  23:59,  5000,       6000
85,     0-1-2-3-4-5-6,  00:00,  23:59,  5000,       6000
90,     0-1-2-3-4-5-6,  00:00,  23:59,  5000,       6000
170,    0-1-2-3-4-5-6,  00:00,  23:59,  5000,       6000
490,    0-1-2-3-4-5-6,  00:00,  23:59,  5000,       6000
44,     0-1-2-3-4-5-6,  00:00,  23:59,  5000,       6000
46,     0-1-2-3-4-5-6,  00:00,  23:59,  5000,       6000
60,     0-1-2-3-4-5-6,  00:00,  23:59,  5000,       6000
360,    0-1-2-3-4-5-6,  00:00,  23:59,  5000,       6000
80,     0-1-2-3-4-5-6,  00:00,  23:59,  5000,       6000
590,    0-1-2-3-4-5-6,  00:00,  23:59,  5000,       6000
87,     0-1-2-3-4-5-6,  00:00,  23:59,  5000,       6000
671,    0-1-2-3-4-5-6,  00:00,  23:59,  5000,       6000
664,    0-1-2-3-4-5-6,  00:00,  23:59,  5000,       6000
558,    0-1-2-3-4-5-6,  00:00,  23:59,  5000,       6000
20,     0-1-2-3-4-5-6,  00:00,  23:59,  5000,       6000
786,    0-1-2-3-4-5-6,  00:00,  23:59,  5000,       6000
781,    0-1-2-3-4-5-6,  00:00,  23:59,  5000,       6000
990,    0-1-2-3-4-5-6,  00:00,  23:59,  5000,       6000
72,     0-1-2-3-4-5-6,  00:00,  23:59,  5000,       6000
73,     0-1-2-3-4-5-6,  00:00,  23:59,  5000,       6000
74,     0-1-2-3-4-5-6,  00:00,  23:59,  5000,       6000
542,    0-1-2-3-4-5-6,  00:00,  23:59,  5000,       6000
