service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
32,0,0,0,1,0,0,0,20200521,20200521
61,0,1,1,0,1,1,0,20200523,20200701
130,1,1,0,0,0,0,1,20200602,20200629
10,1,1,1,1,1,1,1,20200521,20200617
126,1,1,1,1,1,1,1,20200511,20200613
109,1,1,1,1,1,1,1,20200511,20200615
7,1,1,1,1,1,1,1,20200518,20200614
131,1,1,1,1,1,1,1,20200520,20200701
106,1,1,1,1,1,1,1,20200511,20200614
124,1,1,1,1,1,1,1,20200511,20200614
69,1,1,1,1,1,1,1,20200611,20200701
85,1,1,1,1,1,1,1,20200520,20200531
165,1,1,1,1,1,1,1,20200520,20200629
115,1,1,1,1,1,1,1,20200511,20200614
132,1,1,1,1,1,1,1,20200524,20200629
49,1,1,1,1,1,1,1,20200520,20200701
158,1,1,1,1,1,1,1,20200601,20200629
159,1,1,1,1,1,1,1,20200520,20200629
47,1,1,1,1,1,1,1,20200520,20200629
99,1,1,1,1,1,1,1,20200520,20200701
154,1,1,1,1,1,1,1,20200520,20200701
86,1,1,1,1,1,1,1,20200601,20200701
169,1,1,1,1,1,1,1,20200520,20200701
91,1,1,1,1,1,1,1,20200520,20200628
136,1,1,1,1,1,1,1,20200520,20200701
87,1,1,1,1,1,1,1,20200520,20200629
66,1,1,1,1,1,1,1,20200520,20200701
135,1,1,1,1,1,1,1,20200520,20200701
27,1,1,1,1,1,1,1,20200521,20200617
171,1,1,1,1,1,1,1,20200602,20200701
172,1,1,1,1,1,1,1,20200520,20200629
107,1,1,1,1,1,1,1,20200511,20200614
79,1,1,1,1,1,1,1,20200520,20200701
137,1,1,1,1,1,1,1,20200520,20200701
170,1,1,1,1,1,1,1,20200524,20200701
152,1,0,1,1,1,0,1,20200524,20200608
59,0,1,1,0,0,1,0,20200523,20200701
41,1,0,1,1,1,0,0,20200601,20200608
121,1,0,0,0,0,0,1,20200511,20200615
117,1,0,0,0,0,0,1,20200511,20200615
105,1,0,0,0,0,0,1,20200524,20200629
64,0,0,0,0,1,0,0,20200605,20200626
95,0,0,0,0,1,0,0,20200605,20200626
35,0,0,0,0,1,0,0,20200522,20200522
38,0,0,0,0,1,0,0,20200522,20200612
46,1,1,1,1,1,0,1,20200520,20200629
161,1,1,1,1,1,0,1,20200602,20200701
139,1,1,1,1,1,0,1,20200520,20200701
168,1,1,1,1,1,0,1,20200524,20200701
23,1,1,1,1,1,0,1,20200521,20200617
45,1,1,1,1,1,0,1,20200520,20200701
140,1,1,1,1,1,0,1,20200601,20200629
104,1,1,1,1,1,0,1,20200520,20200701
150,1,1,1,1,1,0,1,20200601,20200701
