stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,stop_timezone,location_type,parent_station
ROME9500,04963,"Umanesimo/S. Eugenio","",41.822685,12.472128,"",,,
ROME9559,04973,"Castro Pretorio","",41.905834,12.505718,"",,,
ROME9563,04974,"S.m. Battaglia","",41.905788,12.504955,"",,,
ROME9593,04975,"Lucrezia Romana/Pellaro","",41.834267,12.576397,"",,,
ROME9351,05000,"Piazza Dei Cinquecento","",41.901299,12.500420,"",,,
ROME9355,05001,"Nervi/Palazzo Sport","",41.823818,12.466082,"",,,
ROME9356,05004,"Agricoltura","",41.836689,12.471420,"",,,
ROME9357,05013,"Piazza Augusto Imperatore","",41.905235,12.477285,"",,,
ROME9358,05015,"Mancini","",41.930969,12.464190,"",,,
ROME9359,05016,"Cornelia","",41.904362,12.424915,"",,,
ROME9360,05019,"Anagnina","",41.842972,12.584973,"",,,
ROME9361,05020,"Arco Di Travertino","",41.866749,12.536497,"",,,
ROME9362,05021,"Clodio","",41.918041,12.456313,"",,,
ROME9363,05022,"Laurentina","",41.826874,12.480737,"",,,
ROME1,10001,"Conca D'oro","DOPO PZA CONCA D'ORO - AREA PARCHEGGIO - CAPOLINEA 86-93-336-337-343 (CAPOLINEA INOPEROSO)",41.938545,12.525913,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME2,10002,"Borgo Sant'angelo","",41.903221,12.463745,"",,,
ROME3,10003,"Cimitero Laurentino","ALTEZZA RIQUADRO 14 - CAPOLINEA C8-C11-C13 (CAPOLINEA INOPEROSO)",41.760880,12.494687,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME4,10004,"San Giovanni","",41.886021,12.510527,"",,,
ROME9602,10010,"Staz.ne Tiburtina","",41.909870,12.528813,"",,,
ROME9615,10011,"Staz.ne Tiburtina","",41.909828,12.528752,"",,,
ROME9614,10012,"Staz.ne Tiburtina","",41.909786,12.528680,"",,,
ROME9613,10013,"Staz.ne Tiburtina Mb","",41.909760,12.528565,"",,,
ROME9616,10014,"Staz.ne Tiburtina","",41.909737,12.528440,"",,,
ROME9617,10015,"Staz.ne Tiburtina","",41.910416,12.529677,"",,,
ROME9618,10016,"Tiburtina/Castro Laurenziano","",41.903942,12.520808,"",,,
ROME9583,10017,"Umanesimo/Urali","ALTEZZA CIVICO 78",41.823200,12.470095,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME9701,10018,"Tiburtina","",41.910091,12.529058,"",,,
ROME9509,10037,"Brunetti","",41.787811,12.490190,"",,,
ROME5,20003,"Rocca Cencia/Gioiosa Jonica","40 M. DOPO VIA SERRA PEDACE",41.867584,12.689102,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME7,20006,"Castel Porziano/Mariani","25 M. DOPO VIA MARIANI PRIMA CIVICO 485",41.737614,12.372494,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME9,20014,"Gordiani/Amalfi","",41.886406,12.554405,"",,,
ROME10,20018,"Cimitero Laurentino","ALTEZZA RIQUADRO 17",41.760571,12.489053,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME13,20027,"Tradate/Bareggio","",41.791451,12.329547,"",,,
ROME14,20028,"Tiburtina/Lino Da Parma","ALTEZZA KM.10+360 SINISTRA DOPO FRONTE CIVICO 1040",41.932140,12.581147,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME15,20029,"Tiburtina/Tor Cervara","200 M.DOPO VIA TOR CERVARA FRONTE CIVICO 1095/A",41.932732,12.588327,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME16,20030,"Tiburtina/Tivoli","50 M.DOPO VIA TIVOLI DOPO FRONTE CIVICO 1119",41.932953,12.590991,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME17,20033,"Cimitero/V.le Uffici","VLE UFFICI / 100 M. DOPO INGRESSO SUD CIMITERO",42.008465,12.493485,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME19,20037,"Selva Candida/Basaluzzo","",41.932186,12.376708,"",,,
ROME20,20038,"Selva Candida/Basaluzzo","",41.932072,12.376887,"",,,
ROME21,20040,"Donna Olimpia/Fiorini","",41.875229,12.454800,"",,,
ROME22,20078,"Moschea/Forte Antenne","",41.934803,12.495748,"",,,
ROME23,20079,"Sacro Cuore Di Maria/Euclide","",41.927460,12.481900,"",,,
ROME26,20083,"Volpato/Radio","",41.871407,12.467342,"",,,
ROME27,20084,"Volpato/Radio","",41.871880,12.467523,"",,,
ROME28,20097,"Incisa Val D'arno","",41.978962,12.509112,"",,,
ROME29,20098,"Incisa Val D'arno","",41.979122,12.509057,"",,,
ROME30,20099,"Cavaceppi/Vico Consorti","",41.795616,12.432582,"",,,
ROME31,20100,"L.go Valsabbia","",41.942867,12.515870,"",,,
ROME32,20101,"L.go Valsabbia","",41.942928,12.515972,"",,,
ROME34,20103,"Emo/Di Bartolo","",41.902462,12.441240,"",,,
ROME35,20106,"Cave Di Pietralata","",41.912731,12.540768,"",,,
ROME36,20107,"Cave Di Pietralata","",41.912804,12.540922,"",,,
ROME39,20113,"Monti Tiburtini/Pertini","",41.918552,12.538215,"",,,
ROME40,20114,"Monti Tiburtini/Pertini","",41.919167,12.537018,"",,,
ROME41,20115,"Tiburtina/Morolo","",41.937481,12.618545,"",,,
ROME42,20116,"Tiburtina/Salone","",41.937958,12.620367,"",,,
ROME44,20118,"Stazione Prima Porta","",42.000061,12.493907,"",,,
ROME45,20121,"Aurelia/Persichetti","",41.882988,12.340980,"",,,
ROME46,20124,"Garibaldi/Fabrizi","",41.887627,12.466643,"",,,
ROME48,20128,"Partenope/Irpinia","10 M. PRIMA VIA FONTANAROSA",41.892403,12.550900,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME52,20133,"Tiburtina/Nasini","50 M. DOPO CASA CIRCONDARIALE REBIBBIA ALTEZZA VIA MAJETTI",41.929436,12.577088,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME53,20136,"Trigoria/Andriuli","",41.762047,12.477578,"",,,
ROME55,20138,"Pesenti/Tiburtina","",41.932140,12.599452,"",,,
ROME58,20142,"Tiburtina/Castel Madama","",41.933758,12.603652,"",,,
ROME59,20143,"Tiburtina/Pesenti","30 M. DOPO VIA SMERILLO PRIMA FRONTE CIVICO 1180",41.932850,12.597967,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME60,20147,"Tiburtina/Tor Cervara","10 M. PRIMA SBOCCO VIA TOR CERVARA",41.932713,12.586050,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME61,20149,"Rocca Cencia/Stabilimento Ama","",41.884918,12.695312,"",,,
ROME62,20152,"Tiburtina/Nasini","FRONTE CASA CIRCONDARIALE REBIBBIA ALTEZZA CIVICO 998",41.929832,12.577412,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME63,20159,"Casal Boccone/Almaviva","",41.957863,12.557417,"",,,
ROME66,20171,"Casal Boccone/Ojetti","",41.952229,12.559133,"",,,
ROME67,20178,"Casal Boccone/Almaviva","",41.957893,12.557007,"",,,
ROME68,20181,"Fioranello/Ardeatina","",41.795486,12.535373,"",,,
ROME69,20182,"Fioranello/Civico 186","",41.794304,12.537462,"",,,
ROME75,20199,"Tiburtina/Lino Da Parma","",41.931576,12.579860,"",,,
ROME78,20215,"Morosini E./Nuovo Regina Margherita","",41.885857,12.469258,"",,,
ROME79,20217,"Xxi Aprile/Nardini","30 M. PRIMA VIA NARDINI",41.917965,12.520179,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME82,20265,"Oslavia/Bainsizza","",41.918900,12.461548,"",,,
ROME83,20288,"Levi Civita","",41.855587,12.473063,"",,,
ROME84,20295,"Mameli","",41.888046,12.467605,"",,,
ROME85,20296,"Garibaldi/Iacobucci","",41.888466,12.466005,"",,,
ROME87,20300,"Chiodelli/Corbellini","60 M. DOPO SBOCCO VIA GUIDO CORBELLINI",41.907875,12.662415,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME89,20308,"Acquedotto Del Peschiera","20 M. PRIMA VIA DELL'ACQUEDOTTO PAOLO",41.936466,12.425338,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME91,20313,"Boston","30 M. PRIMA VLE AMERICA",41.829029,12.471226,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME92,20321,"Boston","30 M. PRIMA VLE EUROPA",41.829681,12.471742,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME93,20323,"Mameli","",41.888390,12.467558,"",,,
ROME94,20332,"Civitacampomarano/Case Rosse","17 M. PRIMA VIA CASE ROSSE",41.931995,12.643026,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME96,20353,"S. Arcangelo Di Romagna","",41.789932,12.407785,"",,,
ROME97,20354,"Stazione Grottarossa","",41.964008,12.488963,"",,,
ROME99,20364,"Laurentina/Tor Pagnotta","",41.802708,12.481653,"",,,
ROME100,20369,"Laurentina/Cimitero Laurentino","ALTEZZA ROTATORIA CIMITERO LAURENTINO",41.764160,12.498068,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME101,20370,"Laurentina/Mandriola","70 M. PRIMA FRONTE CIVICO  1351",41.761257,12.500043,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME102,20374,"Laurentina/Civico 1569","35 M. DOPO CIVICO 1569",41.745728,12.503460,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME103,20375,"Laurentina/Cimitero Laurentino","20 M. PRIMA ROTATORIA CIMITERO LAURENTINO",41.763710,12.499105,"http://muovi.roma.it/percorso/js?query=&cl=1",Europe/Rome,,
ROME9512,20379,"Bella Villa","",41.873314,12.577322,"",,,
